"symbol","Financial Strength","Profitability Rank","Cash-To-Debt","Equity-to-Asset","Operating Margin %","Net Margin %","ROA %"
"U","7/10","1/10","13.94","0.79","-38.1","-39.78","-17.27"
"INTC","6/10","9/10","0.5","0.51","31.81","28.1","15.33"
